14.03.02;Ядерные физика и технологии;Институт ядерной физики и технологий;Бакалавриат
Инженерно-физический институт биомедицины;Бакалавриат
Институт физико-технических интеллектуальных систем;Бакалавриат
01.03.02;Прикладная математика и информатика;Институт интеллектуальных кибернетических систем;Бакалавриат
03.03.01;Прикладные математика и физика;Институт лазерных и плазменных технологий;Бакалавриат
Институт нанотехнологий в электронике, спинтронике и фотонике;Бакалавриат
03.03.02;Физика;Инженерно-физический институт биомедицины;Бакалавриат
04.03.01;Химия;Инженерно-физический институт биомедицины;Бакалавриат
04.03.02;Химия, физика и механика материалов;Инженерно-физический институт биомедицины;Бакалавриат
06.03.01;Биология;Инженерно-физический институт биомедицины;Бакалавриат
09.03.01;Информатика и вычислительная техника;Институт интеллектуальных кибернетических систем;Бакалавриат
09.03.04;Программная инженерия;Институт интеллектуальных кибернетических систем;Бакалавриат
10.03.01;Информационная безопасность;Инновационные технологии компьютерной безопасности;Бакалавриат
Безопасность компьютерных систем;Бакалавриат
11.03.04;Электроника и наноэлектроника;Институт нанотехнологий в электронике, спинтронике и фотонике;Бакалавриат
12.03.03;Фотоника и оптоинформатика;Институт лазерных и плазменных технологий;Бакалавриат
Институт нанотехнологий в электронике, спинтронике и фотонике;Бакалавриат
12.03.04;Биотехнические системы и технологии;Инженерно-физический институт биомедицины;Бакалавриат
12.03.05;Лазерная техника и лазерные технологии;Институт лазерных и плазменных технологий;Бакалавриат
14.03.01;Ядерная энергетика и теплофизика;Институт ядерной физики и технологий;Бакалавриат
15.03.06;Мехатроника и робототехника;Институт физико-технических интеллектуальных систем;Бакалавриат
16.03.02;Высокотехнологические плазменные и энергетические установки;Институт лазерных и плазменных технологий;Бакалавриат
22.03.01;Материаловедение и технологии материалов;Институт ядерной физики и технологий;Бакалавриат
38.03.01;Экономика;Институт финансовой и экономической безопасности;Бакалавриат
38.03.05;Бизнес-информатика;Институт финансовой и экономической безопасности;Бакалавриат
Факультет бизнес-информатики и управления комплексными системами;Бакалавриат
41.03.05;Международные отношения;Институт международных отношений;Бакалавриат
14.05.02;Атомные станции: проектирование, эксплуатация и инжиниринг;Институт ядерной физики и технологий;Специалитет
14.05.01;Ядерные реакторы и материалы;Институт физико-технических интеллектуальных систем;Специалитет
Институт ядерной физики и технологий;Специалитет
14.05.04;Электроника и автоматика физических установок;Институт лазерных и плазменных технологий;Специалитет
Институт ядерной физики и технологий;Специалитет
Институт физико-технических интеллектуальных систем;Специалитет
Институт нанотехнологий в электронике, спинтронике и фотонике;Специалитет
09.05.01;Применение и эксплуатация автоматизированных систем специального назначения;Институт интеллектуальных кибернетических систем;Специалитет
10.05.04;Информационно-аналитические системы безопасности;Институт финансовой и экономической безопасности;Специалитет
10.05.05;Безопасность информационных технологий в правоохранительной сфере;Институт финансовой и экономической безопасности;Специалитет
31.05.01;Лечебное дело;Инженерно-физический институт биомедицины;Специалитет
38.05.01;Экономическая безопасность;Институт финансовой и экономической безопасности;Специалитет
14.03.02;Ядерные физика и технологии;Институт ядерной физики и технологий;Магистратура
Инженерно-физический институт биомедицины;Магистратура
Институт физико-технических интеллектуальных систем;Магистратура
01.03.02;Прикладная математика и информатика;Институт интеллектуальных кибернетических систем;Магистратура
03.03.01;Прикладные математика и физика;Институт лазерных и плазменных технологий;Магистратура
Институт нанотехнологий в электронике, спинтронике и фотонике;Магистратура
03.03.02;Физика;Инженерно-физический институт биомедицины;Магистратура
04.03.01;Химия;Инженерно-физический институт биомедицины;Магистратура
04.03.02;Химия, физика и механика материалов;Инженерно-физический институт биомедицины;Магистратура
06.03.01;Биология;Инженерно-физический институт биомедицины;Магистратура
09.03.01;Информатика и вычислительная техника;Институт интеллектуальных кибернетических систем;Магистратура
09.03.04;Программная инженерия;Институт интеллектуальных кибернетических систем;Магистратура
10.03.01;Информационная безопасность;Инновационные технологии компьютерной безопасности;Магистратура
Безопасность компьютерных систем;Магистратура
11.03.04;Электроника и наноэлектроника;Институт нанотехнологий в электронике, спинтронике и фотонике;Магистратура
12.03.03;Фотоника и оптоинформатика;Институт лазерных и плазменных технологий;Магистратура
Институт нанотехнологий в электронике, спинтронике и фотонике;Магистратура
12.03.04;Биотехнические системы и технологии;Инженерно-физический институт биомедицины;Магистратура
12.03.05;Лазерная техника и лазерные технологии;Институт лазерных и плазменных технологий;Магистратура
14.03.01;Ядерная энергетика и теплофизика;Институт ядерной физики и технологий;Магистратура
15.03.06;Мехатроника и робототехника;Институт физико-технических интеллектуальных систем;Магистратура
16.03.02;Высокотехнологические плазменные и энергетические установки;Институт лазерных и плазменных технологий;Магистратура
22.03.01;Материаловедение и технологии материалов;Институт ядерной физики и технологий;Магистратура
38.03.01;Экономика;Институт финансовой и экономической безопасности;Магистратура
38.03.05;Бизнес-информатика;Институт финансовой и экономической безопасности;Магистратура
Факультет бизнес-информатики и управления комплексными системами;Магистратура
41.03.05;Международные отношения;Институт международных отношений;Магистратура
14.05.02;Атомные станции: проектирование, эксплуатация и инжиниринг;Институт ядерной физики и технологий;Магистратура
14.05.01;Ядерные реакторы и материалы;Институт физико-технических интеллектуальных систем;Магистратура
Институт ядерной физики и технологий;Магистратура
14.05.04;Электроника и автоматика физических установок;Институт лазерных и плазменных технологий;Магистратура
Институт ядерной физики и технологий;Магистратура
Институт физико-технических интеллектуальных систем;Магистратура
Институт нанотехнологий в электронике, спинтронике и фотонике;Магистратура
09.05.01;Применение и эксплуатация автоматизированных систем специального назначения;Институт интеллектуальных кибернетических систем;Магистратура
10.05.04;Информационно-аналитические системы безопасности;Институт финансовой и экономической безопасности;Магистратура
10.05.05;Безопасность информационных технологий в правоохранительной сфере;Институт финансовой и экономической безопасности;Магистратура
31.05.01;Лечебное дело;Инженерно-физический институт биомедицины;Магистратура
38.05.01;Экономическая безопасность;Институт финансовой и экономической безопасности;Магистратура
14.03.02;Ядерные физика и технологии;Институт ядерной физики и технологий;Аспирантура
Инженерно-физический институт биомедицины;Аспирантура
Институт физико-технических интеллектуальных систем;Аспирантура
01.03.02;Прикладная математика и информатика;Институт интеллектуальных кибернетических систем;Аспирантура
03.03.01;Прикладные математика и физика;Институт лазерных и плазменных технологий;Аспирантура
Институт нанотехнологий в электронике, спинтронике и фотонике;Аспирантура
03.03.02;Физика;Инженерно-физический институт биомедицины;Аспирантура
04.03.01;Химия;Инженерно-физический институт биомедицины;Аспирантура
04.03.02;Химия, физика и механика материалов;Инженерно-физический институт биомедицины;Аспирантура
06.03.01;Биология;Инженерно-физический институт биомедицины;Аспирантура
09.03.01;Информатика и вычислительная техника;Институт интеллектуальных кибернетических систем;Аспирантура
09.03.04;Программная инженерия;Институт интеллектуальных кибернетических систем;Аспирантура
10.03.01;Информационная безопасность;Инновационные технологии компьютерной безопасности;Аспирантура
Безопасность компьютерных систем;Аспирантура
11.03.04;Электроника и наноэлектроника;Институт нанотехнологий в электронике, спинтронике и фотонике;Аспирантура
12.03.03;Фотоника и оптоинформатика;Институт лазерных и плазменных технологий;Аспирантура
Институт нанотехнологий в электронике, спинтронике и фотонике;Аспирантура
12.03.04;Биотехнические системы и технологии;Инженерно-физический институт биомедицины;Аспирантура
12.03.05;Лазерная техника и лазерные технологии;Институт лазерных и плазменных технологий;Аспирантура
14.03.01;Ядерная энергетика и теплофизика;Институт ядерной физики и технологий;Аспирантура
15.03.06;Мехатроника и робототехника;Институт физико-технических интеллектуальных систем;Аспирантура
16.03.02;Высокотехнологические плазменные и энергетические установки;Институт лазерных и плазменных технологий;Аспирантура
22.03.01;Материаловедение и технологии материалов;Институт ядерной физики и технологий;Аспирантура
38.03.01;Экономика;Институт финансовой и экономической безопасности;Аспирантура
38.03.05;Бизнес-информатика;Институт финансовой и экономической безопасности;Аспирантура
Факультет бизнес-информатики и управления комплексными системами;Аспирантура
41.03.05;Международные отношения;Институт международных отношений;Аспирантура
14.05.02;Атомные станции: проектирование, эксплуатация и инжиниринг;Институт ядерной физики и технологий;Аспирантура
14.05.01;Ядерные реакторы и материалы;Институт физико-технических интеллектуальных систем;Аспирантура
Институт ядерной физики и технологий;Аспирантура
14.05.04;Электроника и автоматика физических установок;Институт лазерных и плазменных технологий;Аспирантура
Институт ядерной физики и технологий;Аспирантура
Институт физико-технических интеллектуальных систем;Аспирантура
Институт нанотехнологий в электронике, спинтронике и фотонике;Аспирантура
09.05.01;Применение и эксплуатация автоматизированных систем специального назначения;Институт интеллектуальных кибернетических систем;Аспирантура
10.05.04;Информационно-аналитические системы безопасности;Институт финансовой и экономической безопасности;Аспирантура
10.05.05;Безопасность информационных технологий в правоохранительной сфере;Институт финансовой и экономической безопасности;Аспирантура
31.05.01;Лечебное дело;Инженерно-физический институт биомедицины;Аспирантура
38.05.01;Экономическая безопасность;Институт финансовой и экономической безопасности;Аспирантура
